Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
4.563,1.627,1.0764,5.979,2.294,1.848,0.9766,0.6555,2.311,5.061,5.503,0.951413,5.775,5.763,2.73716
4.392,1.51,0.655698,5.972,2.551,1.915,1.184,0.5615,2.307,5,5.447,0.956714,5.275,5.769,2.70433
4.409,1.44,0.810517,5.972,2.482,2.002,1.007,0.5774,2.382,5.198,5.463,0.613074,5.459,5.38,2.69633
4.398,1.539,0.791165,5.962,2.573,2.04,1.013,0.7031,2.462,5.105,5.261,0.344523,5.436,5.076,2.68265
4.441,1.538,0.753302,5.959,2.616,2.136,1.195,0.6311,2.561,5.105,5.538,0.14841,5.391,4.854,2.71848
4.419,1.458,1.10249,5.886,2.572,2.029,1.244,0.6555,2.395,5.106,5.403,0.745583,5.806,5.53,2.7513
4.578,1.421,0.749936,5.975,2.754,2.129,1.144,0.7983,2.468,5.087,5.426,0.400177,5.387,5.139,2.7442
4.562,1.345,1.11763,5.948,2.507,2.118,1.162,0.5127,2.346,5.125,5.321,0.315371,5.824,5.043,2.69831
4.427,1.167,0.898865,5.963,2.603,2.203,1.113,0.6995,2.394,5.002,5.424,0.628975,5.564,5.398,2.71028
4.57,1.323,0.760874,5.977,2.527,2.108,0.9351,0.6445,2.448,5.033,5.566,0.0662544,5.4,4.761,2.66323
4.443,1.284,0.760874,5.907,2.524,2.183,1.198,0.5896,2.5,5.074,5.492,0.732332,5.4,5.515,2.72398
4.421,1.348,1.1353,5.911,2.483,2.183,1.14,0.7788,2.393,5.155,5.548,0.733216,5.845,5.516,2.76911
4.526,1.177,1.05284,5.896,2.365,2.009,1.266,0.697,2.468,5.144,5.309,0,5.747,4.686,2.65915
4.52,1.097,0.935887,6.011,2.555,2.217,1.21,0.6018,2.422,5.088,5.385,0.718198,5.608,5.499,2.73007
4.348,1.116,0.974592,5.956,2.478,2.257,1.217,0.6409,2.336,5.071,5.616,0.90636,5.654,5.712,2.74307
4.705,1.207,0.978799,5.931,2.583,2.231,1.145,0.7458,2.505,5.062,5.297,0.957597,5.659,5.77,2.77902
4.615,1.224,0.974592,6.011,2.488,2.2,1.147,0.5481,2.532,5.009,5.314,0.736749,5.654,5.52,2.73329
4.373,1.079,1.08987,5.927,2.516,2.123,1.156,0.5579,2.469,4.988,5.38,0.932862,5.791,5.742,2.71597
4.507,1.078,0.738998,5.906,2.48,2.233,1.118,0.6995,2.399,5.063,5.414,0.584806,5.374,5.348,2.68511
4.443,1.03,1.07472,5.951,2.489,2.106,1.115,0.5103,2.406,5.154,5.482,0.722615,5.773,5.504,2.70697
4.702,1.111,1.05368,6.013,2.529,2.109,1.146,0.6116,2.471,5.01,5.409,0.928445,5.748,5.737,2.75781
4.592,1.144,0.808835,5.876,2.294,2.189,1.169,0.5493,2.379,5.046,5.273,0.672261,5.457,5.447,2.66603
4.67,1.127,0.935887,5.925,2.362,2.292,1.116,0.5151,2.537,5.148,5.438,0.643993,5.608,5.415,2.72583
4.43,1.075,1.15549,5.874,2.458,2.037,1.117,0.6384,2.283,5.081,5.599,0.723498,5.869,5.505,2.70595
4.498,1.056,1.08229,5.89,2.432,2.159,1.199,0.6897,2.415,5.083,5.251,0.647527,5.782,5.419,2.70021
4.637,1.08,0.983006,5.931,2.399,2.061,1.104,0.5688,2.466,5.267,5.269,0.15636,5.664,4.863,2.66018
4.562,1.167,0.81809,5.985,2.483,2.109,1.201,0.5603,2.411,5.067,5.51,0.319788,5.468,5.048,2.68276
4.576,1.067,0.935887,5.906,2.4,2.073,1.152,0.7031,2.262,4.939,5.453,0.143993,5.608,4.849,2.63425
4.677,1.089,1.13698,5.937,2.38,2.058,1.144,0.6433,2.256,5.146,5.508,0.545936,5.847,5.304,2.7101
4.482,1.028,0.729742,5.924,2.268,2.114,1.108,0.6482,2.355,5.126,5.425,0.295936,5.363,5.021,2.62532
4.55,0.9778,0.914011,5.947,2.544,2.068,1.118,0.5579,2.354,4.973,5.339,0.760601,5.582,5.547,2.67528
4.446,1.066,0.797896,5.929,2.361,2.111,1.036,0.6812,2.423,5.024,5.288,0.79417,5.444,5.585,2.66311
4.612,1.063,1.10922,5.9,2.379,2.141,1.068,0.5786,2.288,5.132,5.269,0.750883,5.814,5.536,2.69089
4.563,0.918,0.784434,5.891,2.34,1.954,1.068,0.6348,2.41,5.033,5.347,0.117491,5.428,4.819,2.58839
4.529,0.9827,0.762557,5.895,2.39,2.097,1.097,0.5774,2.375,5.11,5.524,0.559187,5.402,5.319,2.65824
4.711,0.9631,1.04359,5.897,2.371,2.068,0.9717,0.6116,2.422,5.029,5.354,0.920495,5.736,5.728,2.69687
4.485,1.002,1.00068,5.937,2.307,2.065,1.046,0.5359,2.33,5.005,5.399,0.208481,5.685,4.922,2.61009
4.645,0.8838,0.741522,5.803,2.393,2.108,1.028,0.6116,2.393,5.192,5.266,0.169611,5.377,4.878,2.60288
4.595,1.084,1.03938,5.874,2.299,2.05,1.056,0.6152,2.363,5,5.255,1,5.731,5.818,2.68588
4.504,0.8521,0.967019,5.914,2.334,2.107,1.099,0.5298,2.198,4.923,5.359,0.122792,5.645,4.825,2.57581
4.44,1.047,0.708707,5.861,2.301,2.144,0.9485,0.5859,2.336,5.133,5.509,0.234982,5.338,4.952,2.60409
4.432,0.9375,1.17064,5.868,2.352,2.096,0.9729,0.5969,2.363,5.131,5.476,0.936396,5.887,5.746,2.69436
4.54,1.005,0.992262,5.862,2.231,2.01,1.101,0.6909,2.371,5.01,5.276,0.708481,5.675,5.488,2.6498
4.656,1.029,0.972909,5.916,2.341,2.08,1.021,0.6812,2.311,4.998,5.293,0.875442,5.652,5.677,2.68121
4.636,0.9265,0.96113,5.854,2.29,2.072,1.006,0.5713,2.324,5.156,5.53,0.492933,5.638,5.244,2.65166
4.425,0.9534,0.977958,5.859,2.308,2.142,1.068,0.481,2.349,5.162,5.411,0.55742,5.658,5.317,2.64115
4.49,0.9668,0.781068,5.916,2.288,2.025,1.024,0.5261,2.301,5.247,5.417,0.454947,5.424,5.201,2.61974
4.562,1.003,0.779385,5.847,2.139,2.036,1.005,0.5811,2.361,4.923,5.291,0.7553,5.422,5.541,2.6069
4.65,0.9961,0.959447,5.813,2.096,2.155,1.023,0.5066,2.275,5.039,5.344,0.0786219,5.636,4.775,2.57798
4.617,1.016,0.815566,5.864,2.223,1.991,0.9973,0.6628,2.394,5.133,5.461,0.766784,5.465,5.554,2.66179
4.546,0.9644,0.922425,5.933,2.263,2.039,1.133,0.5786,2.288,4.913,5.309,0.828622,5.592,5.624,2.64317
4.362,0.968,1.02424,5.82,2.244,2.015,1.066,0.553,2.308,5.084,5.45,0.783569,5.713,5.573,2.63982
4.438,0.9534,0.744888,5.852,2.311,2.041,0.9924,0.5432,2.402,4.988,5.458,0.380742,5.381,5.117,2.59205
4.501,0.9985,0.76424,5.845,2.113,2.039,0.957,0.6714,2.209,4.991,5.521,0.571555,5.404,5.333,2.59847
4.42,0.9155,0.988055,5.854,2.266,1.996,1.077,0.6006,2.406,5.048,5.432,0.681095,5.67,5.457,2.64035
1.207,2.214,-1.33592,2.531,0.2515,0.2173,0.1819,0.1428,0.1562,0.9436,0.9546,0.677562,2.908,5.453,0.678462
1.257,2.251,-1.34265,2.567,0.1794,0.2112,0.1978,0.04517,0.3577,0.9766,1.096,0.928445,2.9,5.737,0.727056
1.139,2.297,-1.34854,2.546,0.2502,0.09521,0.2258,0.1855,0.1477,0.9595,1.029,0.674028,2.893,5.449,0.683367
1.232,2.201,-1.21391,2.556,0.2869,0.09521,0.1721,0.1733,0.1855,0.9485,0.9229,0.821555,3.053,5.616,0.698421
1.25,2.307,-1.27449,2.361,0.2686,0.06226,0.01831,0.1636,0.1636,1.064,0.9546,0.70053,2.981,5.479,0.669917
